Hotel name,Reviews,Sentiment,Aspect,reference
Reef hotel,"What a magical place! If you are a lover of antiques this is the place to be!  But......  If you are a lover of antiques, magic, ambience, service and a holiday to remember for ever, this is not a place to stay.  Well, you may have better luck to tick these boxes but I did not!  1) I found the room that had not been cleaned to a standard of a 5* property let alone a 3*. Cobwebs, dust, insects (dead), ants in the rooms.  These faux pas noted within 5 minutes of walking into the rooms. 2) The bathroom was stocked with half used set of shampoo/bath wash. This was evidently leftover from the previous occupants of the room. 3) No turn down service. Guests were expected to arrange and open mosquito nets and remove the numerous pillows adorning the bed, because housekeeping is notâ€¦",negative,location and service,"location:not 5* standard, cobwebs and dust in the room.bathroom had leftovers from previous guests with half used shampoos/bathwash.  Customer service : no turn down service.Gusests were expected to do some room services themselves such as opening mosquito nets and removing numerous pillows "
Reef hotel,"I am sure once there the experience would be excellent, but beware in these troubled times, the cancellation policy is incorrect, no refund has been offered only credit towards another holiday, once again I have asked for a refund now communication has ceased no response to emails at all, think twice before booking",negative,service,Customer service:emails are not being responsed where the customer talks about the concern on the refund
Reef hotel,"I think you should read carefully and think twice before coming to the hotel.  our first impression was an amazing hotel. it looked beautiful a lot of details and very stylish. it was only a picture... it's amazing how they ruin our first impression. on the same night, we came. please keep in mind it is five stars hotel, which costs as 5 stars hotel, and: (1) bathroom. there is no ventilation in the bathroom at all. only a ceiling fan, that kind using in Asia. So it was difficult to breathe, and it was a big question of sanitation as well; (2) there was only one robe in the room for two people. and both slippers had a size of 38  only, while I have 43. very uncomfortable. (3) restaurant. I was surprised they asking us to preorder the food before coming to the restaurant. butâ€¦",negative,service and location,location: no ventialtion in the bathroom and santisation is questioned.only one robe for 2 and slippers weren't of the guest's size making them uncomfortable.Customer service and food: asking for pre-ordering food before coming to restuarant which the customer found dissatisfying
Reef hotel,"The building is old, the lights in the bathroom are on timer and mid-shower I found myself in pitch black. The owner is eccentric and blamed my childrenâ€™s behavior as a reason for not providing us with information about the resort... I could not believe it!!! The coffee machine was spoiled and we could not get the coffee we wanted for the first 2 days. However my kids enjoyed the pool and the beach and the staff and especially the hotel Manager Malith were attentive and tried their best to let us feel welcome although we had so many hurdles for a VERY expensive stay. We felt we did not get money for value at all. Our last night a ceiling tile fell middle of the night on the floor waking me up, lucky it fell midroom and not our kids heads, management response was that they areâ€¦",negative,"service and location, food","Location: building old,coffee machine spoiled,pool and beach was good.ceiling tile fell in the middle of the night cauding dissatisfaction. Customer service: management didn't respond well and blamed customer;s kids on not having a propercomuunication with the resort.Food: coffee not avaialble for 2 days."
Reef hotel,"This was our fourth visit to Sri Lanka and the sixth occasion that we have stayed at Reef Villa.  Given the pandemic that has effected the world over the last two years, we were delighted to find that the owners had been able to retain the services of many of the established staff with the General Manager, Chef, Head waiter, Head of Housekeeping all being familiar faces and helped make our holiday very enjoyable.   The Island generally was still taking precautions against the virus and the controls that the Hotel exercised made us feel very safe and enabled us to stay relaxed during our stay.   All our requirements were attended to without any fuss, including the search for a battery charger, which we had inadvertently left at home! There is a wide selection of food availablethroughout the day which is all prepared and cooked fresh, making the most of the exceptional quality of produce available on the island.    We spoke to the chef and he was able to prepare our food just as we requested.   The service throughout our stay was exceptional,  we are so pleased that we had decided to return and are already planning another trip to Sri Lanka in a couple of years time and undoubtedly we will return to the Reef. If you are seeking a relaxing location with excellent service and quality produce, we can throughly recommend a stay at the Reef.  Considering the anxiety that has been experienced over the last two years, we had been concerned at how the pandemic might have effected Reef Villa, but we need not have worried.  The quality remains and will improve further as the Island reopens. An excellent location and most enjoyable stayâ€¦",positive,"food,customer service and location","No negative commnets on food,location and customer review"
Reef hotel,"A lot of complimentary things have been said about this stunning Spa which to the most part I entirely agree.  We have just returned from a tour of the Island and have stayed at some amazing places so feel qualified to point out some areas that fellow travellers should be aware of before staying here. The menu was not the most imaginative and if you were staying for any length of time you would be hard pressed to find a different choice each day. A lot of the dishes relied on avocado which we were told was out of season, further restricting choice, but amazingly the next day it was back in season. The railway line runs just behind the Hotel, so of you are a light sleeper, the trains hooting will keep you awake from about 6am every morning. The beach is stunning but not userâ€¦",negative,food,"Food: menu is not that creative and options were limited.More dishes were based on avacado.Location: train is nearby, so wakesups the guest "
Reef hotel,"I had been working both at home and in Sri Lanka very intensively for some time, and was in need of a break with peace and quiet. I saw the positive reviews of the reef villa as well as the recommendations of the food on Tripadvisor and other sites. Based on this and the small size of the hotel, we booked this for a weeks stay in February.   The moment we arrived and walked through the entrance we felt calm and at peace after the frenetic life in Colombo and the traffic of Sri Lanka.   After walking though the entrance gardens, we were met in the main house which is a beautiful villa full of antiques and artifacts, yet open and airy. We were presented with a cooling cocktail and our check in was very easy. We were met by the manager who took us around the complex and then to ourâ€¦",positive,location,"No negative commnets on food,location and customer review"
Reef hotel,"We booked a wedding and honeymoon with these people and suffered the worst customer service ever, so much so that we cancelled with them a week or so after booking (and around 10 months prior to the wedding). They were unbelievably rude and agreed to refund our deposit (as they couldnâ€™t accommodate our - quite reasonable - requests), but then refused to refund over email.    Weâ€™ve stayed in the best hotels and villas all over the world and have never experienced anything like it.  My suspicion is that that they are into their product far more than their guests.    Theyâ€™ll probably be ok, as long as everything goes their way.  Itâ€™s also interesting to see their responses to negative reviews ;-)",negative,service,"Customer service: rude ,couldn't accodmate much requests when it comes to occasion planning such as wedding.refused to give a refund over email"
Reef hotel,"This was a three night stay after a touring trip around Sri Lanka. It was the perfect place to unwind after bouncing for several days along potholed roads around this beautirul island. It only has 7 rooms, and the service is very warm and personal. The public areas are really beautiful, and the rooms large and full of character. Brendan, the owner, made us very welcome, and is keen to hear any comments or suggestions you may have. Just a couple of minor criticisms: breakfast has a very limited menu - Sri Lankan curry style, or bacon and eggs style. But Brendan is going to introduce waffles, which will give a bit more choice. The other minor gripe is that a 2% charge was put on our bill for payment by card. We were not forewarned, and no other hotel we stayed at did this.â€¦",negative,food,"Food: breakfast had limited menu such as srilankan curry style or bacon and eggs,but waffel were said to be introduced soon"
Reef hotel,"My friends and I arrived at the Reef Villa & Spa after a gruelling drive from Colombo Airport.  We'd flown overnight, and were exhausted, starving and didn't really know what to expect.  As soon as we arrived however, we were immediately thrilled to be there.  Not only is it a beautiful boutique hotel, but everything from the service, to the rooms and the friendly attitude of the staff made it feel very homely and comfortable.  We were warmly greeted at the driveway by the owner and his two dogs, which added a very personal touch.  Soon after we were given a tour and shown to our rooms.  If you check the Reef Villa website, you will not be deceived - it truly is as lovely and picturesque as the photos shown.  In addition, we were particularly impressed by the food! Everythingâ€¦",positive,"food, customer service, location","No negative commnets on food,location and customer review"
